[2026-02-20 01:29:13.076030800 -05:00] Public subs not fully confirmed after 5 polls (ohlc: true, ticker: false)
[2026-02-20 03:29:29.127438 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1115394
[2026-02-20 03:29:29.724486900 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=2230788
[2026-02-20 03:30:40.345620800 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1030061040.65464
[2026-02-20 03:30:55.004333600 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1031176434.65464
[2026-02-20 03:31:45.745755900 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=207815.90563
[2026-02-20 03:32:09.786041800 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=85500000
[2026-02-20 03:32:09.889587300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=617510103.54135
[2026-02-20 03:33:13.552004500 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=98055237.78395
[2026-02-20 03:33:14.848131600 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=190031218.53895
[2026-02-20 03:33:15.014708900 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=196110475.5679
[2026-02-20 03:34:25.901761500 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=88357845.039
[2026-02-20 03:35:53.640500 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=98055237.78395
[2026-02-20 03:36:30.900536300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1904116.62783
[2026-02-20 03:36:35.984921200 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=58904116.62783
[2026-02-20 03:36:36.096861300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=87404116.62783
[2026-02-20 03:36:36.175590500 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=115904116.62783
[2026-02-20 03:36:36.255564 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=172904116.62783
[2026-02-20 03:36:36.363016900 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=201404116.62783
[2026-02-20 03:37:00.451730400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=98055237.78395
[2026-02-20 03:37:50.145972300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=190809822.75295
[2026-02-20 03:38:26.382351400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=97031235.974
[2026-02-20 03:38:32.132963200 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=98055237.78395
[2026-02-20 03:39:01.895415300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=2108107
[2026-02-20 03:39:04.530541100 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=2564178
[2026-02-20 03:43:17.036742100 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=936025529.64297
[2026-02-20 03:48:26.692092600 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=19841269.84127
[2026-02-20 03:55:48.415476700 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=168601.25066
[2026-02-20 03:58:44.624050600 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=182158.73015
[2026-02-20 04:02:03.600002500 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1046732
[2026-02-20 04:12:09.315914400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=825659
[2026-02-20 04:14:06.087444600 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=19000000
[2026-02-20 04:14:11.112008500 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=220739323
[2026-02-20 04:14:30.344298700 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=221498210
[2026-02-20 04:17:51.021341100 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=3643054
[2026-02-20 04:18:57.611400900 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=15177731
[2m2026-02-20 04:23:34 -05:00[0m [31mERROR[0m [2mtrading_bot_rs::monitor[0m[2m:[0m [2msrc\monitor.rs[0m[2m:[0m Failed to update remaining quantities after sell order O2LLTT-CREQ7-EORME3 for INJUSD: Trade TRMW4A-KKM45-2IU55Z not found for INJUSD
[2026-02-20 04:23:48.263606600 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1836063
[2m2026-02-20 04:26:42 -05:00[0m [31mERROR[0m [2mtrading_bot_rs::monitor[0m[2m:[0m [2msrc\monitor.rs[0m[2m:[0m Failed to update remaining quantities after sell order OZAF6J-GVCMB-PEPKYB for INJUSD: Trade TB3DCA-MZJT6-3PFJQL not found for INJUSD
[2026-02-20 04:30:43.088887200 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=3711729
[2026-02-20 04:37:07.491326 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=2683544.3038
[2026-02-20 04:40:00.201338700 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=985232.71875
[2026-02-20 04:41:44.632511100 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1024513
[2026-02-20 04:46:41.534897900 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=22500000
[2026-02-20 04:47:40.775197600 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=2309101
[2026-02-20 04:52:43.226969100 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=241726
[2026-02-20 04:53:05.071609600 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=152018
[2026-02-20 05:05:01.548657700 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=206732198
[2026-02-20 05:05:21.232218200 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=218665372.22435
[2026-02-20 05:06:27.387691400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=3018323.15271
[2026-02-20 05:06:51.649694800 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=3287967.15271
[2026-02-20 05:07:56.336169500 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=3035546
[2m2026-02-20 05:11:21 -05:00[0m [31mERROR[0m [2mtrading_bot_rs::monitor[0m[2m:[0m [2msrc\monitor.rs[0m[2m:[0m Failed to update remaining quantities after sell order OXFN5L-W6USO-XLVZ3O for INJUSD: Trade TKWKYI-GEE2Q-W3XYW3 not found for INJUSD
[2026-02-20 05:13:17.521054400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=11261643
[2026-02-20 05:16:13.564609200 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=5512552
[2026-02-20 05:19:06.955931300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=20403166
[2026-02-20 05:23:18.223315300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1564137
[2026-02-20 05:31:56.795082200 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=788644
[2026-02-20 05:33:28.426251800 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=329549.24863
[2026-02-20 05:33:32.455441700 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=615038.20762
[2m2026-02-20 05:34:29 -05:00[0m [31mERROR[0m [2mtrading_bot_rs::websocket[0m[2m:[0m [2msrc\websocket.rs[0m[2m:[0m Private WS error: IO error: An existing connection was forcibly closed by the remote host. (os error 10054)
[2026-02-20 05:34:40.873217600 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=6309148.26498
[2026-02-20 05:37:56.789816800 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=408363
[2026-02-20 05:38:18.663261700 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=10038956
[2026-02-20 05:39:11.217823 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1171742
[2026-02-20 05:39:57.435570700 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=5557011
[2m2026-02-20 05:41:15 -05:00[0m [31mERROR[0m [2mtrading_bot_rs::monitor[0m[2m:[0m [2msrc\monitor.rs[0m[2m:[0m Failed to update remaining quantities after sell order O4XSH7-WYIFP-L26YK7 for INJUSD: Trade TB2ANJ-IBNGB-XSTVJD not found for INJUSD
[2026-02-20 05:44:59.521586800 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=1363838
[2026-02-20 05:48:29.120069700 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=401453843.63208
[2026-02-20 05:48:29.171830 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=405053843.63208
[2026-02-20 05:49:06.895073 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=3843345
[2026-02-20 05:49:18.751000600 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=4867503.44833
[2026-02-20 05:49:33.052089 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=20715363.98716
[2m2026-02-20 05:50:59 -05:00[0m [31mERROR[0m [2mtrading_bot_rs::monitor[0m[2m:[0m [2msrc\monitor.rs[0m[2m:[0m Failed to update remaining quantities after sell order OSQV3V-5JQ2Q-TT6HK7 for INJUSD: Trade T6XS2Z-OBLWX-P6TA3O not found for INJUSD
